"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-08","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","125.2","","","","1"
"2025-09","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","125.4","","","","1"
"2025-10","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","125.1","","","","1"
"2025-11","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","124.9","","","","1"
"2025-12","British Columbia","2016A000259","Total (house and land)","Index, 201612=100","347","units","0","v111955550","37.1","124.6","","","","1"
"2025-01","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","125.1","","","","1"
"2025-02","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","125.2","","","","1"
"2025-03","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","125.3","","","","1"
"2025-04","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","125.2","","","","1"
"2025-05","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","124.7","","","","1"
"2025-06","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","123.8","","","","1"
"2025-07","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","123.7","","","","1"
"2025-08","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","122.7","","","","1"
"2025-09","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","123.1","","","","1"
"2025-10","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","122.5","","","","1"
"2025-11","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","122.4","","","","1"
"2025-12","British Columbia","2016A000259","House only","Index, 201612=100","347","units","0","v111955551","37.2","122.1","","","","1"
"2025-01","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","122.3","E","","","1"
"2025-02","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","122.5","E","","","1"
"2025-03","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","122.5","E","","","1"
"2025-04","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","122.5","E","","","1"
"2025-05","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","122.5","E","","","1"
"2025-06","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","122.5","E","","","1"
"2025-07","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","122.3","E","","","1"
"2025-08","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","121.7","E","","","1"
"2025-09","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","121.7","E","","","1"
"2025-10","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","121.7","E","","","1"
"2025-11","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","121.4","E","","","1"
"2025-12","British Columbia","2016A000259","Land only","Index, 201612=100","347","units","0","v111955552","37.3","121.2","E","","","1"


