"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110797476","4.1.1.16.1","90600","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390950209","4.1.1.28.1","243500","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390950209","4.1.1.28.1","215000","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390950217","4.1.1.29.1","88500","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390950217","4.1.1.29.1","76400","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Heavy drinking","Number of persons","Number","223","units","0","v110797483","4.1.1.17.1","182700","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Heavy drinking","Number of persons","Number","223","units","0","v110797483","4.1.1.17.1","156400","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110797490","4.1.1.18.1","","..","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110797490","4.1.1.18.1","461800","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number","223","units","0","v110797497","4.1.1.19.1","","..","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number","223","units","0","v110797497","4.1.1.19.1","26400","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Breast milk feeding initiation","Number of persons","Number","223","units","0","v110797504","4.1.1.20.1","","..","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Breast milk feeding initiation","Number of persons","Number","223","units","0","v110797504","4.1.1.20.1","","..","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Exclusive breastfeeding, at least 6 months","Number of persons","Number","223","units","0","v110797511","4.1.1.21.1","","..","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Exclusive breastfeeding, at least 6 months","Number of persons","Number","223","units","0","v110797511","4.1.1.21.1","","..","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110797518","4.1.1.22.1","180900","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110797518","4.1.1.22.1","152200","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110797525","4.1.1.23.1","596100","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110797525","4.1.1.23.1","615200","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110797532","4.1.1.24.1","735400","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v110797532","4.1.1.24.1","731400","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110797539","4.1.1.25.1","711000","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Has a regular healthcare provider","Number of persons","Number","223","units","0","v110797539","4.1.1.25.1","737200","","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110797546","4.1.1.26.1","","..","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Contact with a medical doctor in the past 12 months","Number of persons","Number","223","units","0","v110797546","4.1.1.26.1","","..","","","0"
"2019","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123341043","4.1.1.27.1","395400","","","","0"
"2020","Nova Scotia","2016A000212","Total, 12 years and over","Both sexes","Influenza immunization in the past 12 months","Number of persons","Number","223","units","0","v123341043","4.1.1.27.1","450800","","","","0"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110800647","5.1.1.1.1","345200","","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v110800647","5.1.1.1.1","365500","","","","0"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110800654","5.1.1.2.1","100400","","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Perceived health, fair or poor","Number of persons","Number","223","units","0","v110800654","5.1.1.2.1","91600","","","","0"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110800661","5.1.1.3.1","397000","","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v110800661","5.1.1.3.1","389600","","","","0"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110800668","5.1.1.4.1","59700","","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v110800668","5.1.1.4.1","74500","","","","0"
"2019","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110800675","5.1.1.5.1","127300","","","","0"
"2020","New Brunswick","2016A000213","Total, 12 years and over","Both sexes","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number","223","units","0","v110800675","5.1.1.5.1","121400","","","","0"
